SCHID,LAT,LONG,GEOCODE_STATUS
03170820,42.3245878,-71.2621162,GEOCODED
03170830,42.2881119,-71.286352,GEOCODED
03170835,42.2981809,-71.2878111,GEOCODED
03180005,-999.0,-999.0,FAILED
03210005,-999.0,-999.0,FAILED
03210010,-999.0,-999.0,FAILED
03210025,-999.0,-999.0,FAILED
03210045,-999.0,-999.0,FAILED
03210305,-999.0,-999.0,FAILED
03210505,-999.0,-999.0,FAILED
03220005,-999.0,-999.0,FAILED
03220505,-999.0,-999.0,FAILED
03230003,-999.0,-999.0,FAILED
03230005,-999.0,-999.0,FAILED
03230305,-999.0,-999.0,FAILED
03230505,-999.0,-999.0,FAILED
03230825,-999.0,-999.0,FAILED
03250003,-999.0,-999.0,FAILED
03250025,-999.0,-999.0,FAILED
03250033,-999.0,-999.0,FAILED
03250036,-999.0,-999.0,FAILED
03250040,-999.0,-999.0,FAILED
03250045,-999.0,-999.0,FAILED
03250075,-999.0,-999.0,FAILED
03250310,-999.0,-999.0,FAILED
03250505,-999.0,-999.0,FAILED
03250605,-999.0,-999.0,FAILED
03250810,-999.0,-999.0,FAILED
03250815,-999.0,-999.0,FAILED
03250820,-999.0,-999.0,FAILED
03250825,-999.0,-999.0,FAILED
03250840,-999.0,-999.0,FAILED
03250850,-999.0,-999.0,FAILED
03260004,-999.0,-999.0,FAILED
03260007,-999.0,-999.0,FAILED
03260015,-999.0,-999.0,FAILED
03260025,-999.0,-999.0,FAILED
03260045,-999.0,-999.0,FAILED
03260055,-999.0,-999.0,FAILED
03260310,-999.0,-999.0,FAILED
03260330,-999.0,-999.0,FAILED
03260505,-999.0,-999.0,FAILED
03260810,-999.0,-999.0,FAILED
03260820,-999.0,-999.0,FAILED
03260830,42.5151693,-71.2499973,GEOCODED
03270005,-999.0,-999.0,FAILED
03290805,-999.0,-999.0,FAILED
03300010,42.3633243,-71.2968021,GEOCODED
03300012,42.3615275,-71.2955157,GEOCODED
03300015,42.3616537,-71.3001418,GEOCODED
03300305,42.3397922,-71.3027749,GEOCODED
03300505,42.3365837,-71.3016018,GEOCODED
03300805,42.3849168,-71.272088,GEOCODED
03300810,42.3544735,-71.272124,GEOCODED
03300815,42.3244304,-71.3264072,GEOCODED
03300840,42.371407,-71.2791489,GEOCODED
03300850,42.4672636,-71.3022392,GEOCODED
03310015,-999.0,-999.0,FAILED
03310030,-999.0,-999.0,FAILED
